,likes
likes,1.0
Qatar,0.015682873119356455
Kuwait,0.012416854256849123
UK,0.011524915366524165
MENA,0.011043182033866842
Denmark,0.010706261470416006
Sweden,0.010581679347947438
Saudi Arabia,0.007132695272247181
Egypt,0.006498503728170647
UAE,0.006300846811111758
Germany,0.0010845365647417602
Morocco,-0.001595682356956027
Algeria,-0.002052909105232254
Tunisia,-0.002328436438115528
France,-0.0035332113648341985
Iraq,-0.003940375215773183
Netherlands,-0.00423407370564313
Jordan,-0.00587303561519394
Lebanon,-0.007004948139023653
Europe,-0.011043182033866826
Spain,-0.014733585781323713
Italy,-0.017634590002039867
Greece,-0.019081547439692353
