country,trend_category,0
Algeria,AI tools & productivity,114
Algeria,Climate activism,125
Algeria,Comedy & meme culture,129
Algeria,Crypto & side hustles,120
Algeria,Digital activism & political,121
Algeria,Food & recipe trends,122
Algeria,Football & sports culture,122
Algeria,Gaming & esports,126
Algeria,Mental health awareness,125
Algeria,Modest fashion & heritage,126
Algeria,Privacy & data rights,129
Algeria,Skincare & self-care,130
Algeria,Streetwear & sneakers,123
Algeria,Study/productivity aesthetic,126
Algeria,Sustainable fashion,117
Denmark,AI tools & productivity,122
Denmark,Climate activism,117
Denmark,Comedy & meme culture,123
Denmark,Crypto & side hustles,125
Denmark,Digital activism & political,121
Denmark,Food & recipe trends,132
Denmark,Football & sports culture,121
Denmark,Gaming & esports,130
Denmark,Mental health awareness,131
Denmark,Modest fashion & heritage,121
Denmark,Privacy & data rights,121
Denmark,Skincare & self-care,122
Denmark,Streetwear & sneakers,122
Denmark,Study/productivity aesthetic,127
Denmark,Sustainable fashion,127
Egypt,AI tools & productivity,125
Egypt,Climate activism,127
Egypt,Comedy & meme culture,125
Egypt,Crypto & side hustles,124
Egypt,Digital activism & political,130
Egypt,Food & recipe trends,126
Egypt,Football & sports culture,120
Egypt,Gaming & esports,118
Egypt,Mental health awareness,121
Egypt,Modest fashion & heritage,129
Egypt,Privacy & data rights,127
Egypt,Skincare & self-care,118
Egypt,Streetwear & sneakers,122
Egypt,Study/productivity aesthetic,120
Egypt,Sustainable fashion,121
France,AI tools & productivity,119
France,Climate activism,125
France,Comedy & meme culture,126
France,Crypto & side hustles,124
France,Digital activism & political,120
France,Food & recipe trends,129
France,Football & sports culture,127
France,Gaming & esports,122
France,Mental health awareness,134
France,Modest fashion & heritage,130
France,Privacy & data rights,130
France,Skincare & self-care,130
France,Streetwear & sneakers,124
France,Study/productivity aesthetic,126
France,Sustainable fashion,123
Germany,AI tools & productivity,125
Germany,Climate activism,122
Germany,Comedy & meme culture,131
Germany,Crypto & side hustles,139
Germany,Digital activism & political,129
Germany,Food & recipe trends,131
Germany,Football & sports culture,121
Germany,Gaming & esports,120
Germany,Mental health awareness,128
Germany,Modest fashion & heritage,129
Germany,Privacy & data rights,129
Germany,Skincare & self-care,117
Germany,Streetwear & sneakers,132
Germany,Study/productivity aesthetic,130
Germany,Sustainable fashion,127
Greece,AI tools & productivity,115
Greece,Climate activism,129
Greece,Comedy & meme culture,126
Greece,Crypto & side hustles,133
Greece,Digital activism & political,130
Greece,Food & recipe trends,121
Greece,Football & sports culture,113
Greece,Gaming & esports,128
Greece,Mental health awareness,126
Greece,Modest fashion & heritage,129
Greece,Privacy & data rights,118
Greece,Skincare & self-care,119
Greece,Streetwear & sneakers,131
Greece,Study/productivity aesthetic,123
Greece,Sustainable fashion,122
Iraq,AI tools & productivity,124
Iraq,Climate activism,114
Iraq,Comedy & meme culture,124
Iraq,Crypto & side hustles,128
Iraq,Digital activism & political,128
Iraq,Food & recipe trends,126
Iraq,Football & sports culture,124
Iraq,Gaming & esports,119
Iraq,Mental health awareness,122
Iraq,Modest fashion & heritage,130
Iraq,Privacy & data rights,127
Iraq,Skincare & self-care,125
Iraq,Streetwear & sneakers,127
Iraq,Study/productivity aesthetic,121
Iraq,Sustainable fashion,121
Italy,AI tools & productivity,125
Italy,Climate activism,116
Italy,Comedy & meme culture,125
Italy,Crypto & side hustles,129
Italy,Digital activism & political,119
Italy,Food & recipe trends,123
Italy,Football & sports culture,134
Italy,Gaming & esports,125
Italy,Mental health awareness,122
Italy,Modest fashion & heritage,127
Italy,Privacy & data rights,124
Italy,Skincare & self-care,119
Italy,Streetwear & sneakers,124
Italy,Study/productivity aesthetic,124
Italy,Sustainable fashion,129
Jordan,AI tools & productivity,119
Jordan,Climate activism,118
Jordan,Comedy & meme culture,124
Jordan,Crypto & side hustles,122
Jordan,Digital activism & political,128
Jordan,Food & recipe trends,125
Jordan,Football & sports culture,131
Jordan,Gaming & esports,123
Jordan,Mental health awareness,123
Jordan,Modest fashion & heritage,121
Jordan,Privacy & data rights,133
Jordan,Skincare & self-care,127
Jordan,Streetwear & sneakers,114
Jordan,Study/productivity aesthetic,114
Jordan,Sustainable fashion,127
Kuwait,AI tools & productivity,111
Kuwait,Climate activism,122
Kuwait,Comedy & meme culture,128
Kuwait,Crypto & side hustles,129
Kuwait,Digital activism & political,133
Kuwait,Food & recipe trends,124
Kuwait,Football & sports culture,125
Kuwait,Gaming & esports,131
Kuwait,Mental health awareness,122
Kuwait,Modest fashion & heritage,130
Kuwait,Privacy & data rights,124
Kuwait,Skincare & self-care,125
Kuwait,Streetwear & sneakers,128
Kuwait,Study/productivity aesthetic,132
Kuwait,Sustainable fashion,129
Lebanon,AI tools & productivity,123
Lebanon,Climate activism,126
Lebanon,Comedy & meme culture,127
Lebanon,Crypto & side hustles,121
Lebanon,Digital activism & political,128
Lebanon,Food & recipe trends,130
Lebanon,Football & sports culture,125
Lebanon,Gaming & esports,121
Lebanon,Mental health awareness,124
Lebanon,Modest fashion & heritage,132
Lebanon,Privacy & data rights,121
Lebanon,Skincare & self-care,130
Lebanon,Streetwear & sneakers,112
Lebanon,Study/productivity aesthetic,132
Lebanon,Sustainable fashion,126
Morocco,AI tools & productivity,128
Morocco,Climate activism,129
Morocco,Comedy & meme culture,124
Morocco,Crypto & side hustles,116
Morocco,Digital activism & political,122
Morocco,Food & recipe trends,113
Morocco,Football & sports culture,125
Morocco,Gaming & esports,119
Morocco,Mental health awareness,131
Morocco,Modest fashion & heritage,126
Morocco,Privacy & data rights,130
Morocco,Skincare & self-care,124
Morocco,Streetwear & sneakers,114
Morocco,Study/productivity aesthetic,118
Morocco,Sustainable fashion,114
Netherlands,AI tools & productivity,116
Netherlands,Climate activism,123
Netherlands,Comedy & meme culture,132
Netherlands,Crypto & side hustles,120
Netherlands,Digital activism & political,120
Netherlands,Food & recipe trends,130
Netherlands,Football & sports culture,120
Netherlands,Gaming & esports,120
Netherlands,Mental health awareness,125
Netherlands,Modest fashion & heritage,121
Netherlands,Privacy & data rights,123
Netherlands,Skincare & self-care,122
Netherlands,Streetwear & sneakers,122
Netherlands,Study/productivity aesthetic,125
Netherlands,Sustainable fashion,127
Qatar,AI tools & productivity,127
Qatar,Climate activism,128
Qatar,Comedy & meme culture,121
Qatar,Crypto & side hustles,118
Qatar,Digital activism & political,115
Qatar,Food & recipe trends,122
Qatar,Football & sports culture,109
Qatar,Gaming & esports,128
Qatar,Mental health awareness,118
Qatar,Modest fashion & heritage,122
Qatar,Privacy & data rights,119
Qatar,Skincare & self-care,127
Qatar,Streetwear & sneakers,126
Qatar,Study/productivity aesthetic,123
Qatar,Sustainable fashion,127
Saudi Arabia,AI tools & productivity,129
Saudi Arabia,Climate activism,128
Saudi Arabia,Comedy & meme culture,119
Saudi Arabia,Crypto & side hustles,139
Saudi Arabia,Digital activism & political,121
Saudi Arabia,Food & recipe trends,126
Saudi Arabia,Football & sports culture,126
Saudi Arabia,Gaming & esports,122
Saudi Arabia,Mental health awareness,126
Saudi Arabia,Modest fashion & heritage,124
Saudi Arabia,Privacy & data rights,126
Saudi Arabia,Skincare & self-care,117
Saudi Arabia,Streetwear & sneakers,133
Saudi Arabia,Study/productivity aesthetic,124
Saudi Arabia,Sustainable fashion,120
Spain,AI tools & productivity,120
Spain,Climate activism,117
Spain,Comedy & meme culture,123
Spain,Crypto & side hustles,122
Spain,Digital activism & political,124
Spain,Food & recipe trends,118
Spain,Football & sports culture,131
Spain,Gaming & esports,121
Spain,Mental health awareness,125
Spain,Modest fashion & heritage,128
Spain,Privacy & data rights,125
Spain,Skincare & self-care,119
Spain,Streetwear & sneakers,127
Spain,Study/productivity aesthetic,120
Spain,Sustainable fashion,124
Sweden,AI tools & productivity,118
Sweden,Climate activism,121
Sweden,Comedy & meme culture,120
Sweden,Crypto & side hustles,126
Sweden,Digital activism & political,136
Sweden,Food & recipe trends,126
Sweden,Football & sports culture,120
Sweden,Gaming & esports,126
Sweden,Mental health awareness,123
Sweden,Modest fashion & heritage,121
Sweden,Privacy & data rights,119
Sweden,Skincare & self-care,119
Sweden,Streetwear & sneakers,113
Sweden,Study/productivity aesthetic,124
Sweden,Sustainable fashion,126
Tunisia,AI tools & productivity,126
Tunisia,Climate activism,123
Tunisia,Comedy & meme culture,117
Tunisia,Crypto & side hustles,130
Tunisia,Digital activism & political,128
Tunisia,Food & recipe trends,124
Tunisia,Football & sports culture,129
Tunisia,Gaming & esports,128
Tunisia,Mental health awareness,131
Tunisia,Modest fashion & heritage,128
Tunisia,Privacy & data rights,124
Tunisia,Skincare & self-care,121
Tunisia,Streetwear & sneakers,132
Tunisia,Study/productivity aesthetic,135
Tunisia,Sustainable fashion,123
UAE,AI tools & productivity,114
UAE,Climate activism,123
UAE,Comedy & meme culture,123
UAE,Crypto & side hustles,128
UAE,Digital activism & political,128
UAE,Food & recipe trends,123
UAE,Football & sports culture,119
UAE,Gaming & esports,122
UAE,Mental health awareness,133
UAE,Modest fashion & heritage,119
UAE,Privacy & data rights,131
UAE,Skincare & self-care,124
UAE,Streetwear & sneakers,140
UAE,Study/productivity aesthetic,126
UAE,Sustainable fashion,125
UK,AI tools & productivity,132
UK,Climate activism,124
UK,Comedy & meme culture,124
UK,Crypto & side hustles,122
UK,Digital activism & political,128
UK,Food & recipe trends,123
UK,Football & sports culture,124
UK,Gaming & esports,129
UK,Mental health awareness,131
UK,Modest fashion & heritage,125
UK,Privacy & data rights,132
UK,Skincare & self-care,123
UK,Streetwear & sneakers,129
UK,Study/productivity aesthetic,129
UK,Sustainable fashion,119
