platform,country,0
Instagram,Algeria,619
Instagram,Denmark,621
Instagram,Egypt,636
Instagram,France,629
Instagram,Germany,634
Instagram,Greece,629
Instagram,Iraq,605
Instagram,Italy,628
Instagram,Jordan,619
Instagram,Kuwait,633
Instagram,Lebanon,630
Instagram,Morocco,612
Instagram,Netherlands,621
Instagram,Qatar,622
Instagram,Saudi Arabia,618
Instagram,Spain,609
Instagram,Sweden,623
Instagram,Tunisia,662
Instagram,UAE,620
Instagram,UK,626
TikTok,Algeria,633
TikTok,Denmark,620
TikTok,Egypt,606
TikTok,France,644
TikTok,Germany,632
TikTok,Greece,618
TikTok,Iraq,623
TikTok,Italy,624
TikTok,Jordan,611
TikTok,Kuwait,635
TikTok,Lebanon,626
TikTok,Morocco,602
TikTok,Netherlands,610
TikTok,Qatar,592
TikTok,Saudi Arabia,629
TikTok,Spain,612
TikTok,Sweden,612
TikTok,Tunisia,620
TikTok,UAE,622
TikTok,UK,641
YouTube,Algeria,603
YouTube,Denmark,621
YouTube,Egypt,611
YouTube,France,616
YouTube,Germany,644
YouTube,Greece,616
YouTube,Iraq,632
YouTube,Italy,613
YouTube,Jordan,619
YouTube,Kuwait,625
YouTube,Lebanon,622
YouTube,Morocco,619
YouTube,Netherlands,615
YouTube,Qatar,616
YouTube,Saudi Arabia,633
YouTube,Spain,623
YouTube,Sweden,603
YouTube,Tunisia,617
YouTube,UAE,636
YouTube,UK,627
