region,trend_category,0
Europe,AI tools & productivity,1092
Europe,Climate activism,1094
Europe,Comedy & meme culture,1130
Europe,Crypto & side hustles,1140
Europe,Digital activism & political,1127
Europe,Food & recipe trends,1133
Europe,Football & sports culture,1111
Europe,Gaming & esports,1121
Europe,Mental health awareness,1145
Europe,Modest fashion & heritage,1131
Europe,Privacy & data rights,1121
Europe,Skincare & self-care,1090
Europe,Streetwear & sneakers,1124
Europe,Study/productivity aesthetic,1128
Europe,Sustainable fashion,1124
MENA,AI tools & productivity,1340
MENA,Climate activism,1363
MENA,Comedy & meme culture,1361
MENA,Crypto & side hustles,1375
MENA,Digital activism & political,1382
MENA,Food & recipe trends,1361
MENA,Football & sports culture,1355
MENA,Gaming & esports,1357
MENA,Mental health awareness,1376
MENA,Modest fashion & heritage,1387
MENA,Privacy & data rights,1391
MENA,Skincare & self-care,1368
MENA,Streetwear & sneakers,1371
MENA,Study/productivity aesthetic,1371
MENA,Sustainable fashion,1350
