region,country,trend_category,likes
Europe,Denmark,AI tools & productivity,1680.16
Europe,Denmark,Climate activism,3335.54
Europe,Denmark,Comedy & meme culture,1567.04
Europe,Denmark,Crypto & side hustles,309.97
Europe,Denmark,Digital activism & political,831.12
Europe,Denmark,Food & recipe trends,516.35
Europe,Denmark,Football & sports culture,729.3
Europe,Denmark,Gaming & esports,1570.92
Europe,Denmark,Mental health awareness,1438.28
Europe,Denmark,Modest fashion & heritage,63.92
Europe,Denmark,Privacy & data rights,3231.93
Europe,Denmark,Skincare & self-care,1474.36
Europe,Denmark,Streetwear & sneakers,1713.94
Europe,Denmark,Study/productivity aesthetic,1317.06
Europe,Denmark,Sustainable fashion,3503.38
Europe,France,AI tools & productivity,2005.1
Europe,France,Climate activism,1842.97
Europe,France,Comedy & meme culture,1604.95
Europe,France,Crypto & side hustles,561.83
Europe,France,Digital activism & political,714.44
Europe,France,Food & recipe trends,743.22
Europe,France,Football & sports culture,944.69
Europe,France,Gaming & esports,1279.62
Europe,France,Mental health awareness,1371.63
Europe,France,Modest fashion & heritage,114.82
Europe,France,Privacy & data rights,1708.75
Europe,France,Skincare & self-care,1330.14
Europe,France,Streetwear & sneakers,2001.44
Europe,France,Study/productivity aesthetic,1384.32
Europe,France,Sustainable fashion,2123.95
Europe,Germany,AI tools & productivity,2342.48
Europe,Germany,Climate activism,2794.57
Europe,Germany,Comedy & meme culture,1613.12
Europe,Germany,Crypto & side hustles,514.86
Europe,Germany,Digital activism & political,576.8
Europe,Germany,Food & recipe trends,717.85
Europe,Germany,Football & sports culture,915.92
Europe,Germany,Gaming & esports,1041.22
Europe,Germany,Mental health awareness,1379.0
Europe,Germany,Modest fashion & heritage,112.01
Europe,Germany,Privacy & data rights,1982.26
Europe,Germany,Skincare & self-care,1583.54
Europe,Germany,Streetwear & sneakers,1755.89
Europe,Germany,Study/productivity aesthetic,1391.44
Europe,Germany,Sustainable fashion,2221.35
Europe,Greece,AI tools & productivity,903.9
Europe,Greece,Climate activism,861.97
Europe,Greece,Comedy & meme culture,2386.29
Europe,Greece,Crypto & side hustles,295.7
Europe,Greece,Digital activism & political,455.61
Europe,Greece,Food & recipe trends,1891.98
Europe,Greece,Football & sports culture,2622.38
Europe,Greece,Gaming & esports,845.28
Europe,Greece,Mental health awareness,1020.48
Europe,Greece,Modest fashion & heritage,117.06
Europe,Greece,Privacy & data rights,794.81
Europe,Greece,Skincare & self-care,1260.3
Europe,Greece,Streetwear & sneakers,768.78
Europe,Greece,Study/productivity aesthetic,748.33
Europe,Greece,Sustainable fashion,1120.99
Europe,Italy,AI tools & productivity,822.98
Europe,Italy,Climate activism,851.32
Europe,Italy,Comedy & meme culture,2172.67
Europe,Italy,Crypto & side hustles,329.89
Europe,Italy,Digital activism & political,440.69
Europe,Italy,Food & recipe trends,2130.05
Europe,Italy,Football & sports culture,3002.66
Europe,Italy,Gaming & esports,826.38
Europe,Italy,Mental health awareness,1045.19
Europe,Italy,Modest fashion & heritage,113.2
Europe,Italy,Privacy & data rights,547.6
Europe,Italy,Skincare & self-care,1462.34
Europe,Italy,Streetwear & sneakers,701.38
Europe,Italy,Study/productivity aesthetic,609.6
Europe,Italy,Sustainable fashion,1002.87
Europe,Netherlands,AI tools & productivity,2136.84
Europe,Netherlands,Climate activism,2056.39
Europe,Netherlands,Comedy & meme culture,1639.71
Europe,Netherlands,Crypto & side hustles,416.44
Europe,Netherlands,Digital activism & political,644.3
Europe,Netherlands,Food & recipe trends,734.8
Europe,Netherlands,Football & sports culture,701.62
Europe,Netherlands,Gaming & esports,1204.53
Europe,Netherlands,Mental health awareness,1392.83
Europe,Netherlands,Modest fashion & heritage,122.56
Europe,Netherlands,Privacy & data rights,2047.9
Europe,Netherlands,Skincare & self-care,1151.2
Europe,Netherlands,Streetwear & sneakers,1656.49
Europe,Netherlands,Study/productivity aesthetic,1297.09
Europe,Netherlands,Sustainable fashion,2227.09
Europe,Spain,AI tools & productivity,810.48
Europe,Spain,Climate activism,912.48
Europe,Spain,Comedy & meme culture,2560.6
Europe,Spain,Crypto & side hustles,351.54
Europe,Spain,Digital activism & political,492.16
Europe,Spain,Food & recipe trends,2336.75
Europe,Spain,Football & sports culture,2808.45
Europe,Spain,Gaming & esports,786.06
Europe,Spain,Mental health awareness,1067.15
Europe,Spain,Modest fashion & heritage,135.64
Europe,Spain,Privacy & data rights,785.39
Europe,Spain,Skincare & self-care,1238.08
Europe,Spain,Streetwear & sneakers,854.68
Europe,Spain,Study/productivity aesthetic,643.21
Europe,Spain,Sustainable fashion,1053.21
Europe,Sweden,AI tools & productivity,1553.49
Europe,Sweden,Climate activism,3552.5
Europe,Sweden,Comedy & meme culture,1641.8
