trend_category,engagement_rate
Gaming & esports,0.02121682808716707
Comedy & meme culture,0.021165796868727417
Digital activism & political,0.019260183339976086
Football & sports culture,0.01847506082725061
AI tools & productivity,0.018118009868421055
Skincare & self-care,0.01762506102522376
Modest fashion & heritage,0.017194718030182684
Food & recipe trends,0.01642365677626303
Crypto & side hustles,0.016113558648111332
Mental health awareness,0.01604315747719159
Sustainable fashion,0.01565751818916734
Streetwear & sneakers,0.015574589178356715
Privacy & data rights,0.015201910828025477
Study/productivity aesthetic,0.015087755102040818
Climate activism,0.013614733414733415
