trend_category,post_count,engagement_rate,post_count_norm,engagement_norm,popularity_score
Comedy & meme culture,9.311922922521076,0.021165796868727417,1.0,0.9932872161373235,0.9966436080686618
Gaming & esports,8.790153349475384,0.02121682808716707,0.8755520113358856,1.0,0.9377760056679427
Digital activism & political,8.17018732562774,0.019260183339976086,0.7276830502204177,0.7426176821651441,0.735150366192781
Football & sports culture,7.639091646390916,0.01847506082725061,0.6010106789600175,0.639340553090121,0.6201756160250693
AI tools & productivity,7.139802631578948,0.018118009868421055,0.4819245595975235,0.5923731086929503,0.537148834145237
Skincare & self-care,7.199349064279902,0.01762506102522376,0.49612706232013415,0.5275292907140977,0.511828176517116
Modest fashion & heritage,6.8705321683876095,0.017194718030182684,0.4177004858263954,0.47092081455270945,0.4443106501895524
Food & recipe trends,6.558941459502806,0.01642365677626303,0.3433825512239811,0.36949334131751843,0.35643794627074976
Crypto & side hustles,6.5304174950298215,0.016113558648111332,0.3365792606705115,0.32870219867677203,0.3326407296736418
Mental health awareness,6.411344704482349,0.01604315747719159,0.3081790433068234,0.31944143911598594,0.31381024121140466
Sustainable fashion,6.361358124494745,0.01565751818916734,0.2962566743895574,0.26871340892943263,0.282485041659495
Streetwear & sneakers,6.132264529058117,0.015574589178356715,0.2416152413878248,0.25780470358124236,0.24970997248453358
Privacy & data rights,6.080812101910828,0.015201910828025477,0.22934325121984656,0.2087815900329955,0.21906242062642103
Study/productivity aesthetic,5.76030412164866,0.015087755102040818,0.1528984457828464,0.19376523850048896,0.1733318421416677
Climate activism,5.119251119251119,0.013614733414733415,0.0,0.0,0.0
