region,trend_category,post_count
MENA,Modest fashion & heritage,10.625090122566691
MENA,Digital activism & political,10.434876989869753
MENA,Gaming & esports,10.08695652173913
MENA,Comedy & meme culture,9.644379132990448
Europe,Sustainable fashion,9.63167259786477
Europe,Comedy & meme culture,8.91150442477876
Europe,Privacy & data rights,8.63514719000892
Europe,Climate activism,8.603290676416819
MENA,Crypto & side hustles,8.534545454545455
Europe,AI tools & productivity,7.880952380952381
Europe,Football & sports culture,7.748874887488749
Europe,Skincare & self-care,7.677981651376147
Europe,Mental health awareness,7.598253275109171
MENA,Football & sports culture,7.549077490774907
Europe,Gaming & esports,7.220338983050848
Europe,Streetwear & sneakers,7.156583629893238
MENA,Skincare & self-care,6.817982456140351
Europe,Food & recipe trends,6.781994704324801
Europe,Study/productivity aesthetic,6.674645390070922
MENA,AI tools & productivity,6.535820895522388
MENA,Food & recipe trends,6.373254959588538
MENA,Mental health awareness,5.423691860465116
Europe,Digital activism & political,5.393078970718722
MENA,Streetwear & sneakers,5.292487235594456
MENA,Study/productivity aesthetic,5.008023340627279
Europe,Crypto & side hustles,4.113157894736842
MENA,Privacy & data rights,4.022286125089863
MENA,Sustainable fashion,3.6385185185185187
MENA,Climate activism,2.322817314746882
Europe,Modest fashion & heritage,2.2661361626878866
