region,trend_category,post_count
MENA,Modest fashion & heritage,14737
MENA,Digital activism & political,14421
MENA,Gaming & esports,13688
MENA,Comedy & meme culture,13126
MENA,Crypto & side hustles,11735
Europe,Sustainable fashion,10826
MENA,Football & sports culture,10229
Europe,Comedy & meme culture,10070
Europe,Privacy & data rights,9680
Europe,Climate activism,9412
MENA,Skincare & self-care,9327
MENA,AI tools & productivity,8758
Europe,Mental health awareness,8700
MENA,Food & recipe trends,8674
Europe,Football & sports culture,8609
Europe,AI tools & productivity,8606
Europe,Skincare & self-care,8369
Europe,Gaming & esports,8094
Europe,Streetwear & sneakers,8044
Europe,Food & recipe trends,7684
Europe,Study/productivity aesthetic,7529
MENA,Mental health awareness,7463
MENA,Streetwear & sneakers,7256
MENA,Study/productivity aesthetic,6866
Europe,Digital activism & political,6078
MENA,Privacy & data rights,5595
MENA,Sustainable fashion,4912
Europe,Crypto & side hustles,4689
MENA,Climate activism,3166
Europe,Modest fashion & heritage,2563
